"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","userShouldBeAbleToLoginSuccessfully()","","Fri Jan 09 14:35:04 UTC 2026","broken","Fri Jan 09 14:35:05 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminPageTest","org.autotests.ui.tests.automationintesting.AdminPageTest","userShouldBeAbleToLoginSuccessfully"
"","199","cannotSignUpWithEmptyFields()","","Fri Jan 09 14:35:03 UTC 2026","broken","Fri Jan 09 14:35:03 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","cannotSignUpWithEmptyFields"
"","200","userShouldNotBeAbleToLoginWithInvalidCredentials()","","Fri Jan 09 14:35:04 UTC 2026","broken","Fri Jan 09 14:35:04 UTC 2026","","org.autotests.ui.tests.automationintesting.NegativeAdminPageTest","org.autotests.ui.tests.automationintesting.NegativeAdminPageTest","userShouldNotBeAbleToLoginWithInvalidCredentials"
"","2361","userShouldBeDeletedSuccessfully()","","Fri Jan 09 14:34:55 UTC 2026","failed","Fri Jan 09 14:34:57 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeDeletedSuccessfully"
"","198","userCanLoginSuccessfully()","","Fri Jan 09 14:34:58 UTC 2026","broken","Fri Jan 09 14:34:58 UTC 2026","","org.autotests.api.tests.LoginTest","org.autotests.api.tests.LoginTest","userCanLoginSuccessfully"
"","196","createRoomInAdminPanel()","","Fri Jan 09 14:35:05 UTC 2026","broken","Fri Jan 09 14:35:05 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminCanAddNewRoomTest","org.autotests.ui.tests.automationintesting.AdminCanAddNewRoomTest","createRoomInAdminPanel"
"","224","userShouldBeCreatedSuccessfully()","","Fri Jan 09 14:34:58 UTC 2026","failed","Fri Jan 09 14:34:58 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeCreatedSuccessfully"
"","658","userShouldBeUpdatedSuccessfully()","","Fri Jan 09 14:34:57 UTC 2026","failed","Fri Jan 09 14:34:58 UTC 2026","","org.autotests.api.tests.UserTest","org.autotests.api.tests.UserTest","userShouldBeUpdatedSuccessfully"
"","195","cannotLoginWithEmptyPassword()","","Fri Jan 09 14:35:04 UTC 2026","broken","Fri Jan 09 14:35:04 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeLoginTest","org.autotests.ui.tests.demoblaze.NegativeLoginTest","cannotLoginWithEmptyPassword"
"","202","userCannotLoginWithInvalidCredentials()","","Fri Jan 09 14:35:03 UTC 2026","broken","Fri Jan 09 14:35:03 UTC 2026","","org.autotests.ui.tests.demoblaze.LoginTest","org.autotests.ui.tests.demoblaze.LoginTest","userCannotLoginWithInvalidCredentials"
"","205","userCanSignUpAndLoginSuccessfully()","","Fri Jan 09 14:35:03 UTC 2026","broken","Fri Jan 09 14:35:03 UTC 2026","","org.autotests.ui.tests.demoblaze.PositiveLoginTest","org.autotests.ui.tests.demoblaze.PositiveLoginTest","userCanSignUpAndLoginSuccessfully"
"","4292","userCanLogoutSuccessfully()","","Fri Jan 09 14:34:58 UTC 2026","broken","Fri Jan 09 14:35:03 UTC 2026","","org.autotests.ui.tests.demoblaze.LogoutTest","org.autotests.ui.tests.demoblaze.LogoutTest","userCanLogoutSuccessfully"
"","206","cannotLoginWithEmptyUsername()","","Fri Jan 09 14:35:03 UTC 2026","broken","Fri Jan 09 14:35:04 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeLoginTest","org.autotests.ui.tests.demoblaze.NegativeLoginTest","cannotLoginWithEmptyUsername"
"","200","deleteRoomInAdminPanel()","","Fri Jan 09 14:35:04 UTC 2026","broken","Fri Jan 09 14:35:04 UTC 2026","","org.autotests.ui.tests.automationintesting.AdminCanDeleteRoomTest","org.autotests.ui.tests.automationintesting.AdminCanDeleteRoomTest","deleteRoomInAdminPanel"
"","209","cannotSignUpWithDuplicateUsername()","","Fri Jan 09 14:35:03 UTC 2026","broken","Fri Jan 09 14:35:03 UTC 2026","","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","org.autotests.ui.tests.demoblaze.NegativeSignUpTest","cannotSignUpWithDuplicateUsername"
"","197","userCanOpenHomePageAndSeeTitle()","","Fri Jan 09 14:35:04 UTC 2026","broken","Fri Jan 09 14:35:04 UTC 2026","","org.autotests.ui.tests.demoblaze.HomePageTest","org.autotests.ui.tests.demoblaze.HomePageTest","userCanOpenHomePageAndSeeTitle"
